office_address;origin_lat;origin_long;destination_lat;destination_long;miles;duration;emissions;commute_cost;m_morning_duration_in_traffic;m_morning_emissions;m_evening_duration_in_traffic;m_evening_emissions;t_morning_duration_in_traffic;t_morning_emissions;t_evening_duration_in_traffic;t_evening_emissions;w_morning_duration_in_traffic;w_morning_emissions;w_evening_duration_in_traffic;w_evening_emissions;h_morning_duration_in_traffic;h_morning_emissions;h_evening_duration_in_traffic;h_evening_emissions;f_morning_duration_in_traffic;f_morning_emissions;f_evening_duration_in_traffic;f_evening_emissions
12601 Fair Lakes Circle, Fairfax, VA 22033;39.06480286790017;-77.44680177120523;38.8572345;-77.3824155;20.9;27.0;8.4436;14.003;32.0;4.4751080000000005;38.0;10.5545;34.0;4.4751080000000005;41.0;10.5545;35.0;4.4751080000000005;42.0;10.5545;33.0;4.4751080000000005;43.0;10.5545;31.0;4.4751080000000005;37.0;4.4751080000000005
12601 Fair Lakes Circle, Fairfax, VA 22033;38.97100578386341;-77.41032863665195;38.8572345;-77.3824155;10.2;20.0;4.1208;6.834;29.0;5.151;32.0;5.151;29.0;5.151;37.0;5.151;29.0;5.151;38.0;5.151;29.0;5.151;36.0;5.151;27.0;5.151;33.0;5.151
12601 Fair Lakes Circle, Fairfax, VA 22033;38.76533439971662;-77.09401022564334;38.8572345;-77.3824155;23.3;36.0;9.413200000000002;15.611;52.0;11.766500000000002;57.0;11.766500000000002;61.0;11.766500000000002;59.0;11.766500000000002;60.0;11.766500000000002;61.0;11.766500000000002;59.0;11.766500000000002;61.0;11.766500000000002;49.0;11.766500000000002;57.0;11.766500000000002
12601 Fair Lakes Circle, Fairfax, VA 22033;38.95680036739782;-77.42197320754222;38.8572345;-77.3824155;9.0;19.0;3.636;6.03;26.0;4.545;28.0;4.545;27.0;4.545;32.0;4.545;27.0;4.545;33.0;4.545;27.0;4.545;34.0;4.545;25.0;4.545;29.0;4.545
12601 Fair Lakes Circle, Fairfax, VA 22033;38.80670588310191;-77.04852051563202;38.8572345;-77.3824155;26.4;31.0;10.6656;17.688;46.0;5.652768;51.0;13.331999999999999;55.0;13.331999999999999;59.0;13.331999999999999;53.0;13.331999999999999;62.0;13.331999999999999;52.0;13.331999999999999;61.0;13.331999999999999;43.0;5.652768;50.0;13.331999999999999
12601 Fair Lakes Circle, Fairfax, VA 22033;38.85169920105701;-77.60772059439162;38.8572345;-77.3824155;20.7;27.0;8.3628;13.869;40.0;10.4535;34.0;4.432284;47.0;10.4535;36.0;4.432284;44.0;10.4535;36.0;4.432284;44.0;10.4535;35.0;4.432284;34.0;4.432284;36.0;4.432284
12601 Fair Lakes Circle, Fairfax, VA 22033;38.8661290623933;-77.39530195065213;38.8572345;-77.3824155;2.7;8.0;1.0908000000000002;1.8090000000000002;9.0;1.3635000000000002;11.0;1.3635000000000002;9.0;1.3635000000000002;10.0;1.3635000000000002;9.0;1.3635000000000002;11.0;1.3635000000000002;10.0;1.3635000000000002;11.0;1.3635000000000002;9.0;1.3635000000000002;11.0;1.3635000000000002
12601 Fair Lakes Circle, Fairfax, VA 22033;38.89164348300415;-77.26460483107445;38.8572345;-77.3824155;9.0;13.0;3.636;6.03;15.0;1.9270800000000001;21.0;4.545;16.0;1.9270800000000001;22.0;4.545;16.0;1.9270800000000001;24.0;4.545;15.0;1.9270800000000001;23.0;4.545;16.0;1.9270800000000001;20.0;4.545
12601 Fair Lakes Circle, Fairfax, VA 22033;38.844310951381125;-77.4165591752144;38.8572345;-77.3824155;3.1;9.0;1.2524000000000002;2.0770000000000004;10.0;1.5655000000000001;11.0;1.5655000000000001;10.0;1.5655000000000001;12.0;1.5655000000000001;9.0;1.5655000000000001;12.0;1.5655000000000001;10.0;1.5655000000000001;12.0;1.5655000000000001;9.0;1.5655000000000001;12.0;1.5655000000000001
12601 Fair Lakes Circle, Fairfax, VA 22033;38.85299210449228;-77.23291993346683;38.8572345;-77.3824155;13.8;18.0;5.575200000000001;9.246;23.0;2.9548560000000004;34.0;6.969000000000001;24.0;2.9548560000000004;36.0;6.969000000000001;24.0;2.9548560000000004;39.0;6.969000000000001;24.0;2.9548560000000004;38.0;6.969000000000001;23.0;2.9548560000000004;31.0;6.969000000000001
